Название аптеки,Адрес,Телефон,Цена
Гомельское УП Фармация Аптека N4/15,"Гомель, д. Ченки, ул. Радужная, 23, пом. 20",(0232) 907192,38.60 р.
Гомельское УП Фармация Аптека N149,"Калинковичи, ул. Пионерская, 5",(02345) 30024,38.60 р.
Доктор Время ООО Аптека N61,"Горки, ул. Вокзальная, 29Б, Магазин Санта",+375223378529,38.66 р.
Моя Аптека ООО Аптека N79,"Любань, ул. Первомайская, 62А",(01794) 50067,от 38.67 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Светлогорск, Самовывоз при бронировании",(29) 6838787,38.70 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Калинковичи, Самовывоз при бронировании",(29) 6838787,38.70 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Мозырь, Самовывоз при бронировании",(29) 6838787,38.70 р.
Доминантафарм ОДО Аптека N20,"Мосты, пл. Ленина, 4-1, Белтелеком",(1515) 33320,38.70 р.
Ясса ПКФ ООО Аптека N5,"Витебск, ул. 1-я Пролетарская , 19",(0212) 652213,38.70 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Слоним, Самовывоз при бронировании",(29) 6838787,38.70 р.
АльфаАптека Аптека N24 ОДО Салюслайн,"Щучин, ул. Зеленая, 3A",(01514) 77691,38.74 р.
Гродненское РУП Фармация Аптека N177,"Волковыск, г.п. Красносельский, ул. Строителей, 6А",(01512) 63792,38.74 р.
Гродненское РУП Фармация Аптека N221,"Гродно, ул. Фолюш, 15/204, пом. 4",(0152) 691423,38.74 р.
Гродненское РУП Фармация Аптека N238,"Мосты, ул. Советская, 33",(01515) 38202,38.74 р.
Гродненское РУП Фармация Аптека N24,"Новогрудок, ул. Советская, 67г, Магазин Хит",(01597) 46812,38.74 р.
АльфаАптека Аптека N11 ОДО Салюслайн,"Гродно, ул. Захарова, 26-99",(0152) 716053,38.74 р.
АльфаАптека Аптека N4 ОДО Салюслайн,"Гродно, ул. Лиможа, 41",(0152) 563910,38.74 р.
АльфаАптека Аптека N32 Фитобел ООО,"Минск-Советский, ул. Некрасова, 3А, магазин Гиппо",(017) 3966434,38.79 р.
Моя Аптека ООО Аптека N76,"Ляховичи, ул. Ленина, 28",(01633) 21000,38.85 р.
Ясса ПКФ ООО Аптека N1,"Витебск, пр-т Московский, 66",(0212) 641313,38.88 р.
Ясса ПКФ ООО Аптека N12,"Витебск, ул. Коммунистическая, 27-64, на углу рядом с маг. Оптовик",(0212) 647313,38.88 р.
Ясса ПКФ ООО Аптека N14,"Витебск, ул. Правды, 66, маг. Витебские продукты",(0212) 222095,38.88 р.
Ясса ПКФ ООО Аптека N15,"Витебск, ул. Ленина, 52-10",(0212) 361130,38.88 р.
Ясса ПКФ ООО Аптека N2,"Витебск, ул. Мира, 1",(0212) 370710,38.88 р.
Ясса ПКФ ООО Аптека N3,"Витебск, ул. Чкалова, 49",(0212) 634416,38.88 р.
Ясса ПКФ ООО Аптека N9,"Витебск, ул. Лазо, 5",(0212) 633218,38.88 р.
Моя Аптека ООО Аптека N10,"Брест, ул. Волгоградская, 19, пом. 4, рынок Лагуна, Ковалево",(0162) 935238,38.94 р.
Моя Аптека ООО Аптека N68,"Столин, ул. Советская, 27",(01655) 66649,38.94 р.
Моя Аптека ООО Аптека N91,"Осиповичи, ул. 60 лет Октября, 9-37",(02235) 24688,38.94 р.
Оффицина ЗАО Аптека N8,"Ивье, ул. 1 Мая, 5",(0159) 568135,38.94 р.
Моя Аптека ООО Аптека N36,"Глубокое, ул. Ленина, 3-11",(02156) 56075,38.94 р.
Моя Аптека ООО Аптека N53,"Осиповичи, ул. Дзержинского, 54-57А",(02235) 57078,38.94 р.
АльфаАптека Аптека N15 Не Ска ООО,"Гомель, ул. Барыкина, 78",(0232) 209500,38.94 р.
Моя Аптека ООО Аптека N18,"Добруш, пр-т Мира, 1, пом. 13",(02333) 23325,38.94 р.
Моя Аптека ООО Аптека N26,"Гродно, ул. Соломовой, 70/93Б",(0152) 393502,38.94 р.
Моя Аптека ООО Аптека N74,"Мосты, ул. Песочная, 13",(01515) 31010,38.94 р.
Шарлота ОДО Аптека N2,"Сморгонь, ул. Советская, 10-22",(01592) 24712,38.94 р.
Моя Аптека ООО Аптека N80,"Старые Дороги, ул. Комсомольская, 19-3",(01792) 35932,от 38.94 р.
Моя Аптека ООО Аптека N94,"Дрогичин, ул. Ленина, 141А, пом. 3",(01644) 48884,38.94 р.
Моя Аптека ООО Аптека N87,"Иваново, ул. Советская, 46-49",(01652) 20020,38.94 р.
Наша аптека N13 Аптечное дело ООО,"Гомель, ул. Мазурова, 79, пом.1а",(0232) 509648,39.33 р.
Наша аптека N14 Аптечное дело ООО,"Барановичи, ул. Тельмана, 165, пом.56",(0163) 460703,39.33 р.
Новамедика Аптека N31,"Марьина Горка, ул. Андреевская, 20, пом. 12",(01713) 47150,39.35 р.
Новамедика Аптека N41,"Шклов, ул. Молодежная, 1В",(02239) 76488,39.35 р.
Гродненское РУП Фармация Аптека N197,"Берестовица, ул. Дзержинского, 2",(01511) 71382,39.52 р.
Аптека АстраФарма N3 ООО Игорь-фарм,"Слоним, ул. Школьная, 1",(01562) 66994,39.58 р.
Новамедика Аптека N1,"Минск-Заводской, ул. Шабаны, 5, пом. 2Н",(017) 2301969,39.64 р.
Гродненское РУП Фармация Аптека N105,"Сморгонь, ул. Заводская, 52",(01592) 24723,39.73 р.
Ледафарммед ООО Аптека N4,"Минск-Фрунзенский, аг. Хатежино, ул. Советская, 3А",(017) 5178806,39.75 р.
Планета Здоровья Аптека N26 Доктор Время ООО,"Ошмяны, ул. Борунская, 49, Магазин Санта,отдельный вход",+375159321543,39.79 р.
Доминантафарм ОДО Аптека N11,"Минск-Первомайский, ул. Филимонова, 33, пом. 1Н",(017) 3510111,39.90 р.
Могилевское РУП Фармация Аптека N102,"Бобруйск, ул. Гоголя, 202-81",(0225) 737961,39.94 р.
Могилевское РУП Фармация Аптека N32,"Могилев, пр-т Шмидта, 54А",(0222) 654807,39.94 р.
Радикс Аптека N17 ООО Радикс-С,"Минск-Первомайский, ул. Славинского, 1/4",(017) 2702078,40.00 р.
Белфармация Аптека N1,"Минск-Советский, ул. Веры Хоружей, 24, к.1-2н",(017) 3972660,40.00 р.
Белфармация Аптека N1 (филиал 3),"Минск-Советский, ул. Сурганова, 52-2Н",(017) 3173246,40.00 р.
Белфармация Аптека N104 (филиал 2),"Минск-Центральный, ул. Мястровская, 27, маг. Лебяжий супермаркет Виталюр, 1 этаж",(017) 3019922,40.00 р.
Белфармация Аптека N110 (филиал 3),"Минск-Первомайский, ул. Никифорова, 51, вход на парковке со стороны ул.Стариновской",(017) 3443183,40.00 р.
Белфармация Аптека N110 (филиал 4),"Минск-Первомайский, ул. Никифорова, 51, вход с главной площади т/ц со стороны ул.Никифорова",(017) 3440803,40.00 р.
Белфармация Аптека N112 (филиал 1),"Минск-Первомайский, ул. Гинтовта, 28, 28-я городская пол-ка",(017) 3744647,40.00 р.
Белфармация Аптека N112 (филиал 4),"Минск-Первомайский, ул. Водолажского, 5, пом. 1Н",(017) 3950435,40.00 р.
Белфармация Аптека N13,"Минск-Ленинский, пр-т Независимости, 16",(017) 3745854,40.00 р.
Белфармация Аптека N14,"Минск-Фрунзенский, ул. Янки Мавра, 64, пом. 3Н",(017) 3472425,40.00 р.
Белфармация Аптека N16 (филиал 1),"Минск-Заводской, ул. Уборевича, 73, 10-я городская больница",(017) 3373420,40.00 р.
Белфармация Аптека N17,"Минск-Первомайский, пр-т Независимости, 119-3",(017) 3619457,40.00 р.
Белфармация Аптека N17 (филиал 1),"Минск-Первомайский, пр-т Независимости, 119, 19-я городская пол-ка, 2 этаж",(017) 3734431,40.00 р.
Белфармация Аптека N17 (филиал 2),"Минск-Партизанский, ул. Франциска Скорины, 24/2, РНПЦ неврологии и нейрохирургии",(017) 2350980,40.00 р.
Белфармация Аптека N18 (филиал 1),"Минск-Центральный, ул. Красная, 5, пом. 3Н, ул. Киселёва, 15, на углу Минского эндокринологического диспансера",(017) 3556252,40.00 р.
Белфармация Аптека N18 (филиал 2),"Минск-Центральный, ул. Максима Танка, 34/2, пом. 3Н",(017) 2632490,40.00 р.
Белфармация Аптека N19,"Минск-Октябрьский, ул. Кирова, 2-147, напротив ЖД вокзала",(017) 2256180,40.00 р.
Белфармация Аптека N21,"Минск-Заводской, ул. Жилуновича, 20-18",(017) 3473301,40.00 р.
Белфармация Аптека N25,"Минск-Партизанский, ул. Олега Кошевого, 10, пом. 5Н, ст. м. Тракторный завод",(017) 3382787,40.00 р.
Белфармация Аптека N3,"Минск-Заводской, ул. Ташкентская, 16/1-3Н",(017) 3736993,40.00 р.
Белфармация Аптека N3 (филиал 1),"Минск-Заводской, ул. Голодеда, 7/2",(017) 2527870,40.00 р.
Белфармация Аптека N32,"Минск-Первомайский, пр-т Независимости, 87 - 4Н",(017) 3580531,40.00 р.
Белфармация Аптека N32 (филиал 3),"Минск-Первомайский, пр-т Независимости, 95/1-22",(017) 3756674,40.00 р.
Белфармация Аптека N32 (филиал 5),"Минск-Советский, ул. Богдана Хмельницкого, 2-2н",(017) 2602798,40.00 р.
Белфармация Аптека N36,"Минск-Центральный, б-р Шевченко, 11-49",(017) 3249743,40.00 р.
Белфармация Аптека N37,"Минск-Первомайский, ул. Кнорина, 6, пом. 2H",(017) 2580691,40.00 р.
Белфармация Аптека N39,"Минск-Московский, ул. Карла Либкнехта, 118-2Н",(017) 2430791,40.00 р.
Белфармация Аптека N39 (филиал 4),"Минск-Московский, ул. Уманская, 55-89",(017) 3204383,40.00 р.
Белфармация Аптека N39 (филиал 5),"Минск-Московский, ул. Хмелевского, 39, 15-я городская п-ка, пом. 94, 95",(017) 2217063,40.00 р.
Белфармация Аптека N40 (филиал 3),"Минск-Фрунзенский, ул. Скрыганова, 14-4, маг. Белмаркет",(017) 2401824,40.00 р.
Белфармация Аптека N42,"Минск-Советский, Логойский тр-т, 27-9Н",(017) 3705006,40.00 р.
Белфармация Аптека N45 (филиал 2),"Минск-Заводской, ул. Ташкентская, 20/1, пом. 2Н, напротив Чижовка-Арены",(017) 3758487,40.00 р.
Белфармация Аптека N45 (филиал 3),"Минск-Заводской, ул. Уборевича, 176, пом. 2, маг. Грин",(017) 3550110,40.00 р.
Белфармация Аптека N5,"Минск-Ленинский, ул. Маяковского, 15, пом. 2Н",(017) 2537102,40.00 р.
Белфармация Аптека N5 (филиал 1),"Минск-Ленинский, ул. Великоморская, 36, 11-я городская пол-ка",(017) 3748182,40.00 р.
Белфармация Аптека N5 (филиал 2),"Минск-Ленинский, ул. Гошкевича, 3-2, Лошица, маг. Евроопт",(017) 2785342,40.00 р.
Белфармация Аптека N54,"Минск-Заводской, пр-т Партизанский, 147-2H",(017) 3644688,40.00 р.
Белфармация Аптека N55,"Минск-Первомайский, ул. Калиновского, 55В",(017) 3529042,40.00 р.
Белфармация Аптека N57 (филиал 1),"Минск-Ленинский, пр-т Рокоссовского, 114, пом. 10Н, маг. Санта",(017) 3797209,40.00 р.
Белфармация Аптека N58,"Минск-Октябрьский, ул. Корженевского, 25-1",(017) 3772721,40.00 р.
Белфармация Аптека N58 (филиал 2),"Минск-Московский, ул. Каролинская, 3, 39-я городская пол-ка, 3 этаж, р-н Брилевичи",(017) 3979978,40.00 р.
Белфармация Аптека N58 (филиал 3),"Минск-Московский, ул. Каролинская, 2-177А",(017) 3664584,40.00 р.
Белфармация Аптека N61 (филиал 3),"Минск-Советский, Логойский тр-т, 7-3Н, маг. Соседи",(017) 3530167,40.00 р.
Белфармация Аптека N62 (филиал 2),"Минск-Фрунзенский, ул. Притыцкого, 29-84, фестивальный центр Тивали, 1 этаж",(017) 3000652,40.00 р.
Белфармация Аптека N65,"Минск-Советский, ул. Восточная, 46-3Н",(017) 2150658,40.00 р.
Белфармация Аптека N68,"Минск-Фрунзенский, ул. Матусевича, 77-1",(017) 3780885,40.00 р.
Белфармация Аптека N68 (филиал 2),"Минск-Фрунзенский, ул. Кунцевщина, 8, 26-я городская пол-ка",(017) 2242581,40.00 р.
Белфармация Аптека N7,"Минск-Заводской, пр-т Партизанский, 62, пом. 1Н",(017) 2580103,40.00 р.
Белфармация Аптека N74,"Минск-Октябрьский, ул. Казинца, 120-426",(017) 3384760,40.00 р.
Белфармация Аптека N74 (филиал 2),"Минск-Октябрьский, ул. Брестская, 56/1",(017) 3525462,40.00 р.
Белфармация Аптека N75 (филиал 3),"Минск-Советский, ул. Веры Хоружей, 8, Комаровский рынок, 2 этаж, пав. 77, напротив центрального входа",(017) 2630655,40.00 р.
Белфармация Аптека N8 (филиал 3),"Минск-Октябрьский, ул. Воронянского, 50/1, отдельный вход справа, 38-я городская пол-ка",(017) 2316129,40.00 р.
Белфармация Аптека N80,"Минск-Ленинский, ул. Плеханова, 72",(017) 3268891,40.00 р.
Белфармация Аптека N81,"Минск-Московский, пр-т Газеты Правда, 20А/1-4",(017) 3784627,40.00 р.
Белфармация Аптека N88,"Минск-Центральный, ул. Сторожевская, 3, Троицкое предместье",(017) 3631993,40.00 р.
Белфармация Аптека N88 (филиал 2),"Минск-Центральный, ул. Орловская, 66/9, РНПЦ Мать и дитя, 9-й корпус консультац. поликлинич. отделения, центральн. вход, 2 этаж",(017) 3671027,40.00 р.
Белфармация Аптека N9,"Минск-Советский, ул. Веры Хоружей, 11-2H",(017) 2423997,40.00 р.
Белфармация Аптека N97,"Минск-Октябрьский, ул. Жуковского, 10/1-6Н",(017) 3705132,40.00 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Молодечно, Самовывоз при бронировании",(29) 6838787,40.00 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Волковыск, Самовывоз при бронировании",(29) 6838787,40.00 р.
АльфаАптека Аптека N18 ГаленаФарм ООО,"Речица, ул. Молодежная, 5Д, пом. 2, 3",(02340) 99568,40.06 р.
Гомельское УП Фармация Аптека N84/1,"Лельчицы, г.п. Лельчицы, ул. Ленина, 35",(02356) 41984,40.18 р.
Ремедика Бальзам ООО Аптека N27,"Береза, ул. Ленина, 112-32",(0164) 343732,от 40.22 р.
Гродненское РУП Фармация Аптека N108,"Слоним, ул. Франциска Скорины, 7а",(01562) 25210,40.27 р.
Гродненское РУП Фармация Аптека N267,"Новогрудок, ул. Ленина, 11-1",(01597) 41700,40.27 р.
Гомельское УП Фармация Аптека N133/4,"Гомель, ул. Богдана Хмельницкого, 96/2",(0232) 249402,40.43 р.
Гомельское УП Фармация Аптека N168/8,"Светлогорск, м-н Первомайский, 47-2",(02342) 34307,40.43 р.
Гомельское УП Фармация Аптека N194/3,"Гомель, ул. Сухого, 2, пом. 3-6",(0232) 235833,40.43 р.
Гомельское УП Фармация Аптека N194/4,"Гомель, ул. Сухого, 6",(0232) 245704,40.43 р.
Гомельское УП Фармация Аптека N199/8,"Жлобин, ул. Войкова, 8/2",(029) 3408072,40.43 р.
Гомельское УП Фармация Аптека N2/4,"Гомель, ул. Комсомольская, 6-32",(0232) 345055,40.43 р.
Гомельское УП Фармация Аптека N2/5,"Гомель, ул. Интернациональная, 5, здание Коминтерн",(0232) 318033,40.43 р.
Гомельское УП Фармация Аптека N209/5,"Гомель, ул. Зайцева, 67/2",(0232) 319079,40.43 р.
Гомельское УП Фармация Аптека N4/7,"Гомель, ул. Ильича, 87А-1",(0232) 303180,40.43 р.
Гомельское УП Фармация Аптека N1,"Гомель, ул. Советская, 58",(0232) 335576,40.43 р.
Гомельское УП Фармация Аптека N1/4,"Гомель, ул. Чечерская, 35",(0232) 220577,40.43 р.
Гомельское УП Фармация Аптека N100,"Гомель, ул. Мазурова, 117В-67",(0232) 212077,40.43 р.
Гомельское УП Фармация Аптека N115,"Гомель, ул. Барыкина, 127А",(0232) 332760,40.43 р.
Гомельское УП Фармация Аптека N125,"Гомель, ул. Царикова, 48-92",(0232) 242516,40.43 р.
Гомельское УП Фармация Аптека N133/1,"Гомель, ул. Медицинская, 10",(0232) 350424,40.43 р.
Гомельское УП Фармация Аптека N133/3,"Гомель, ул. Котовского, 56",(0232) 304398,40.43 р.
Гомельское УП Фармация Аптека N147,"Гомель, ул. Артема, 4",(0232) 316242,40.43 р.
Гомельское УП Фармация Аптека N151,"Речица, ул. Рокоссовского, 11",(02340) 49920,40.43 р.
Гомельское УП Фармация Аптека N156,"Гомель, пр-т Речицкий, 22-52",(0232) 204517,40.43 р.
Гомельское УП Фармация Аптека N156/2,"Гомель, ул. Медицинская, 4",(0232) 319795,40.43 р.
Гомельское УП Фармация Аптека N162/3,"Гомель, пр-т Победы, 5а-1",(0232) 202148,40.43 р.
Гомельское УП Фармация Аптека N163,"Гомель, ул. Гагарина, 32",(0232) 299510,40.43 р.
Гомельское УП Фармация Аптека N165/6,"Гомель, ул. Медицинская, 7",(0232) 319866,40.43 р.
Гомельское УП Фармация Аптека N167/1,"Гомель, ул. Ландышева, 17",(0232) 533323,40.43 р.
Гомельское УП Фармация Аптека N167/3,"Гомель, ул. Мазурова, 10В, детская пол-ка",(0232) 214498,40.43 р.
Гомельское УП Фармация Аптека N168,"Светлогорск, ул. Батова, 5",(02342) 23499,40.43 р.
Гомельское УП Фармация Аптека N17,"Рогачев, ул. Ленина, 55А",(02339) 90387,40.43 р.
Гомельское УП Фармация Аптека N170,"Гомель, ул. Минская, 34",(0232) 265774,40.43 р.
Гомельское УП Фармация Аптека N176,"Гомель, ул. Сосновая, 22-89",(0232) 349341,40.43 р.
Гомельское УП Фармация Аптека N180,"Гомель, ул. Кожара, 2-76",(0232) 302634,40.43 р.
Гомельское УП Фармация Аптека N184,"Калинковичи, ул. Князева, 7",(02345) 33522,40.43 р.
Гомельское УП Фармация Аптека N190/10,"Мозырь, ул. Советская, 138-3",(0236) 252870,40.43 р.
Гомельское УП Фармация Аптека N190/9,"Мозырь, ул. Нелидова, 3А-109",(0236) 202274,40.43 р.
Гомельское УП Фармация Аптека N192/1,"Гомель, ул. Братьев Лизюковых, 5",(0232) 292032,40.43 р.
Гомельское УП Фармация Аптека N192/2,"Гомель, ул. Братьев Лизюковых, 5",(0232) 293770,40.43 р.
Гомельское УП Фармация Аптека N194,"Гомель, ул. Богданова, 10Б-58",(0232) 236313,40.43 р.
Гомельское УП Фармация Аптека N195,"Гомель, пр-т Речицкий, 75",(0232) 319575,40.43 р.
Гомельское УП Фармация Аптека N199,"Жлобин, ул. Красноармейская, 18А",(02334) 43136,40.43 р.
Гомельское УП Фармация Аптека N2,"Гомель, ул. Пушкина, 18",(0232) 340049,40.43 р.
Гомельское УП Фармация Аптека N20,"Добруш, ул. Гагарина, 2-1",(02333) 58471,40.43 р.
Гомельское УП Фармация Аптека N202,"Мозырь, б-р Страконицкий, 13",(0236) 242588,40.43 р.
Гомельское УП Фармация Аптека N209,"Гомель, ул. Жемчужная, 34",(0232) 341288,40.43 р.
Гомельское УП Фармация Аптека N25,"Корма, ул. Ленина, 19-1",(0233) 742031,40.43 р.
Гомельское УП Фармация Аптека N27,"Речица, аг. Холмечь, ул. Дружбы, 1",(02340) 33943,40.43 р.
