Название,Адрес,Время работы,Телефон,Широта,Долгота
ADEL Аптека N72 ООО Аптека групп Центр,"Минск-Центральный, пр-т Победителей, 84, ТРЦ Арена сити, рядом с кассами маг. Green","09.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5034264,53.938154,27.488987
ADEL Аптека N74 ООО Аптека групп Центр,"Минск-Октябрьский, пр-т Мира, 6-273, ЖК Минск-Мир, здание Сочи","09.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(044) 5034264,53.869255,27.546991
ADEL Аптека N77 ООО Аптека групп Центр,"Минск-Октябрьский, ул. Бобруйская, 6-13, ТРЦ Galileo, 2 этаж, рядом маг. Соседи","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5034264,53.890224,27.554375
ADEL Аптека N78 ЗАО Аптека групп Юг,"Гомель, ул. Мазурова, 28В, БЦ Астория","08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,52.449959,31.022456
ADEL Аптека N85 ООО Аптека групп Центр,"Минск-Центральный, ул. Нововиленская, 31-348, ЖК Левада","09.00-21.00, пн.–пт.; 11.00-21.00, сб.; 11.00-21.00, вс.",(044) 5034264,53.933504,27.533501
ADEL Аптека N9 ЗАО Аптека групп Север,"Витебск, пр-т Фрунзе, 15-2","08.00-20.00, пн.–пт.; 10.00-16.00, сб.; выходной, вс.",(044) 5034264,55.192405,30.211502
ADEL Аптека N94 ООО Аптека групп Центр,"Минск-Московский, пр-т Дзержинского, 94","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,53.865883,27.485923
InLek Аптека N1 ОДО ДКМ-ФАРМ,"Минск-Центральный, ул. Веры Хоружей, 31, маг. Евроопт","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 3792429,53.922996,27.555652
InLek Аптека N1 ООО Сеть аптек,"Минск-Центральный, ул. Червякова, 57, маг. Гиппо","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 3430577,53.929853,27.547821
InLek Аптека N1 ООО Фармико,"Брест, ул. Дзержинского, 24-1","10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Праздничные дни 10.00-20.00;",(0162) 597572,52.088547,23.692230
InLek Аптека N10 ОДО ДКМ-ФАРМ,"Витебск, пр-т Строителей, 15Г, ТРЦ Трио, Вход №4, направо, за магазином Sokolov","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(0212) 221542,55.170590,30.217966
InLek Аптека N10 ООО Сеть аптек,"Минск-Фрунзенский, ул. Сухаревская, 31, маг. Гиппо","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 3639565,53.887130,27.423255
InLek Аптека N101 ООО Сеть аптек,"Минск-Октябрьский, ул. Братская, 6А, вход напротив касс №2,3 маг. ГИППО","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 3901924,53.870601,27.551438
InLek Аптека N103 ООО Сеть аптек,"Боровляны, аг. Лесной, ул. Александрова, 15, маг. Гиппо","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(017) 3161321,54.013242,27.678289
InLek Аптека N105 ООО Сеть аптек,"Гомель, ул. Жемчужная, 21-2, маг. Евроопт","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(0232) 202264,52.357616,31.011955
InLek Аптека N11 ОДО ДКМ-ФАРМ,"Гродно, ул. Пушкина, 31А","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0152) 643669,53.696584,23.833955
InLek Аптека N12 ОДО ДКМ-ФАРМ,"Лида, ул. Качана, 29, вход возле Белита-Витекс","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(0154) 532029,53.896941,25.322870
InLek Аптека N14 ОДО ДКМ-ФАРМ,"Минск-Фрунзенский, ул. Иосифа Жиновича, 1-238, маг. Спар","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 3906694,53.918179,27.448417
InLek Аптека N15 ОДО ДКМ-ФАРМ,"Минск-Первомайский, ул. Франтишка Скорины, 9, магазин Семь пятниц XXL, вдоль кассовой линии, напротив входа в магазин","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 2706657,53.927437,27.656612
InLek Аптека N16 ОДО ДКМ-ФАРМ,"Минск-Московский, ул. Грушевская, 21-211, маг. Санта","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 2403086,53.885655,27.525647
InLek Аптека N17 ОДО ДКМ-ФАРМ,"Минск-Октябрьский, Брилевская, 31-361","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 3165035,53.871785,27.526464
InLek Аптека N17 ООО Сеть аптек,"Гомель, ул. Косарева, 18, маг. Гиппо","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0232) 306217,52.407498,30.915695
InLek Аптека N18 ОДО ДКМ-ФАРМ,"Молодечно, ул. Франциска Скорины, 28, маг. Алми","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0176) 525077,54.294038,26.844490
InLek Аптека N18 ООО Сеть аптек,"Мозырь, ул. Рыжкова, 94, ТЦ Бобровский","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(0236) 256948,52.037910,29.221044
InLek Аптека N2 ОДО ДКМ-ФАРМ,"Солигорск, пр-т Мира, 32","08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-17.00, вс.",(0174) 263914,52.785342,27.523443
InLek Аптека N2 ООО Сеть аптек,"Минск-Октябрьский, ул. Жуковского, 3, маг. Гиппо","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 3584944,53.884499,27.552348
InLek Аптека N20 ОДО ДКМ-ФАРМ,"Минск-Ленинский, ул. Маяковского, 6, пом. 21 и 34, ТРЦ Червенский","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 2213255,53.884684,27.565712
InLek Аптека N20 ООО Сеть аптек,"Минск-Первомайский, ул. Городецкая, 30, маг. Гиппо","09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.",(017) 3578716,53.947520,27.678114
InLek Аптека N21 ОДО ДКМ-ФАРМ,"Минск-Заводской, пр-т Партизанский, 79, пом. 22, ТРЦ Prizma, подземный этаж вход возле маг. Мила","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 3880696,53.876573,27.625863
InLek Аптека N22 ООО Сеть аптек,"Минск-Фрунзенский, ул. Горецкого, 2, маг. Гиппо","10.00-23.00, пн.–пт.; 10.00-23.00, сб.; 10.00-23.00, вс.",(017) 3632633,53.876907,27.466705
InLek Аптека N24 ООО Сеть аптек,"Минск-Ленинский, Игуменский тр-т, 30, маг. Гиппо","09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.",(017) 2305461,53.840663,27.572652
InLek Аптека N25 ОДО ДКМ-ФАРМ,"Гродно, ул. Кабяка, 13, пом. 6, маг. Алми","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0152) 688654,53.643479,23.851075
InLek Аптека N25 ООО Сеть аптек,"Минск-Советский, д. Боровая, 7А, маг. Гиппо","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 5110023,53.965598,27.645356
InLek Аптека N26 ООО Сеть аптек,"Минск-Заводской, пр-т Партизанский, 150А, ТЦ МОМО","08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.",(017) 2786248,53.859408,27.673498
InLek Аптека N27 ОДО ДКМ-ФАРМ,"Гродно, ул. Дубко, 17, ТЦ Old City","09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.",(0152) 643143,53.701663,23.834865
InLek Аптека N29 ОДО ДКМ-ФАРМ,"Солигорск, пер. Парковый, 9А, маг. Копеечка","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Сан. часы: третье воскресенье месяца;",(0174) 313660,52.779472,27.537440
InLek Аптека N3 ООО Сеть аптек,"Минск-Октябрьский, ул. Аэродромная, 24-246","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 2403725,53.872385,27.541610
InLek Аптека N31 ОДО ДКМ-ФАРМ,"Гродно, ул. Щорса, 11А, ТЦ Казарма Молл","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0152) 610479,53.678916,23.851322
InLek Аптека N33 ОДО ДКМ-ФАРМ,"Витебск, ул. Титова, 136Б, маг. НИКА, 2 этаж","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0212) 248145,55.195840,30.151461
InLek Аптека N34 ОДО ДКМ-ФАРМ,"Минск-Центральный, Долгиновский тр-т, 178, ТЦ ALL","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(017) 3933619,53.964266,27.535470
InLek Аптека N36 ОДО ДКМ-ФАРМ,"Минск-Октябрьский, аг. Сеница, ул. Зеленая, 1, к. 5, маг. Гиппо","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 5107078,53.822134,27.530765
InLek Аптека N38 ОДО ДКМ-ФАРМ,"Минск-Первомайский, ул. Петра Мстиславца, 11, ТЦ Дана Молл, 1 этаж, вход напротив инфоцентра магазина Green","09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.",(017) 2357756,53.933757,27.652127
InLek Аптека N39 ОДО ДКМ-ФАРМ,"Витебск, ул. Генерала Белобородова, 2А, маг. Гиппо","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0212) 370429,55.186474,30.190203
InLek Аптека N4 ОДО ДКМ-ФАРМ,"Могилев, пр-т Пушкинский, 14","08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0222) 243679,53.877585,30.339484
InLek Аптека N4 ООО Сеть аптек,"Могилев, ул. Мовчанского, 6, маг. Гиппо","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(0222) 606913,53.872348,30.363199
InLek Аптека N40 ОДО ДКМ-ФАРМ,"Минск-Первомайский, ул. Ложинская, 14-2, маг. Соседи","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 2410220,53.949704,27.682331
InLek Аптека N41 ОДО ДКМ-ФАРМ,"Могилев, ул. Минское Шоссе, 31, ТЦ Парк Сити","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0222) 771036,53.935638,30.257639
InLek Аптека N44 ОДО ДКМ-ФАРМ,"Минск-Фрунзенский, ул. Шаранговича, 51, магазин Алми","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 3175120,53.881706,27.441214
InLek Аптека N5 ОДО ДКМ-ФАРМ,"Мозырь, ул. Нефтестроителей, 26/1, ТЦ Катапульта","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0236) 257158,52.039869,29.207432
InLek Аптека N5 ООО Сеть аптек,"Минск-Октябрьский, ул. Игоря Лученка, 24-311","08.00-01.00, пн.–пт.; 08.00-01.00, сб.; 08.00-01.00, вс.",(017) 2700485,53.863402,27.549147
InLek Аптека N51 ОДО ДКМ-ФАРМ,"Минск-Ленинский, ул. Маяковского, 115-2, маг. Маяк","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(017) 2706658,53.863460,27.572135
InLek Аптека N6 ОДО ДКМ-ФАРМ,"Минск-Октябрьский, Леонида Левина, 9-294","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 3165052,53.866572,27.532097
InLek Аптека N6 ООО Сеть аптек,"Минск-Ленинский, пр-т Рокоссовского, 2, маг. Гиппо","08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.",(017) 3996987,53.875045,27.594871
InLek Аптека N69 ООО Сеть аптек,"Минск-Советский, Боровлянский с/с, 74/1, ТРЦ Экспобел, маг. Гиппо, вход напротив касс №17,18","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(029) 1614248,53.963442,27.624457
InLek Аптека N7 ОДО ДКМ-ФАРМ,"Гродно, пр-т Янки Купалы, 87, ТЦ Тринити, 2 этаж, вход в гипермаркет Green","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(0152) 337517,53.650301,23.855913
InLek Аптека N7 ООО Сеть аптек,"Колодищи, аг. Колодищи, ул. Энтузиастов, 2, пом. 2","09.40-21.40, пн.–пт.; 09.20-21.20, сб.; 09.20-21.20, вс.; Праздничные дни: 9:20-21:20;",(017) 5033677,53.918736,27.752570
InLek Аптека N8 ОДО ДКМ-ФАРМ,"Минск-Советский, ул. Кольцова, 32, пом. 3Н","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Праздничные дни: 10:00-19:00;",(017) 3173863,53.952500,27.601770
InLek Аптека N9 ОДО ДКМ-ФАРМ,"Солигорск, ул. Ленина, 2Б","08.00-22.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.; Праздничные дни: 8:00-21:00;",(0174) 235941,52.792823,27.532713
InLek Аптека N9 ООО Сеть аптек,"Гомель, ул. Ефремова М.Г., 19-7, пом. 7-2, вход через магазин Три цены","09.00-20.45, пн.–пт.; 09.00-20.45, сб.; 09.00-20.45, вс.",(0232) 550747,52.459634,30.965817
InLek Аптека N96 ООО Сеть аптек,"Минск-Московский, Щомыслицкий с/с, ТЦ Диамант, вход напротив касс маг. Гиппо","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(029) 1167350,53.849008,27.434039
InLek Аптека N99 ОДО ДКМ-ФАРМ,"Витебск, пр-т Фрунзе, 32-65, маг. Ника","10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(0212) 612533,55.193532,30.223922
SAVA Аптека N11 ООО Сеть аптек,"Гомель, ул. Царикова, 53А, маг. Мила","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(0232) 322975,52.445812,30.951685
SAVA Аптека N13 ОДО ДКМ-ФАРМ,"Минск-Ленинский, ул. Маяковского, 6, пом. 30, ТРЦ Червенский, 1-й подземный этаж, вход напротив магазина Доктор Вет","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(017) 2421734,53.884585,27.566209
SAVA Аптека N21 ООО Сеть аптек,"Минск-Фрунзенский, ул. Горецкого, 2, пом. 188, вход возле маг. Миля и Банка РРБ","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(017) 2277149,53.876595,27.466973
SAVA Аптека N22 ОДО ДКМ-ФАРМ,"Осиповичи, ул. Вокзальная, 18А","08.00-18.00, пн.–пт.; 08.00-18.00, сб.; 08.00-18.00, вс.; Праздничные дни: 8:00-18:00;",(02235) 65957,53.298235,28.652684
SAVA Аптека N23 ОДО ДКМ-ФАРМ,"Могилев, ул. Березовская, 14-375","10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(0222) 623202,53.923578,30.350992
SAVA Аптека N24 ОДО ДКМ-ФАРМ,"Минск-Заводской, пр-т Партизанский, 79, пом. 42, ТРЦ Prizma, первый этаж вход возле маг. КРАВТ","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(017) 3880697,53.876840,27.624452
SAVA Аптека N35 ОДО ДКМ-ФАРМ,"Минск-Советский, ул. В. Цвирко, 78-98","выходной, пн.; 12.00-20.00, вт.; 12.00-20.00, ср.; 12.00-20.00, чт.; 12.00-20.00, пт.; 12.00-20.00, сб.; выходной, вс.",(017) 2494246,53.961953,27.566053
SAVA Аптека N37 ОДО ДКМ-ФАРМ,"Осиповичи, ул. Сташкевича, 43, маг. Соседи","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(02235) 51077,53.322760,28.638390
SAVA Аптека N8 ООО Сеть аптек,"Могилев, ул. Челюскинцев, 41","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(0222) 245215,53.893640,30.312569
WDL оптика N1,"Минск-Заводской, пр-т Партизанский, 150, ТЦ МОМО","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 7872652,53.858966,27.674958
WDL оптика N10,"Гомель, ул. Советская, 30","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(044) 5040541,52.430947,31.010653
WDL оптика N11,"Гомель, ул. Косарева, 18, ТЦ Гиппо","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5040542,52.407259,30.915727
WDL оптика N12,"Гомель, ул. Ленина, 63","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(029) 1905139,52.430677,30.994546
WDL оптика N2,"Минск-Московский, пр-т Газеты Правда, 20А","09.00-20.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.",(029) 3768818,53.867182,27.483597
WDL оптика N3,"Минск-Фрунзенский, ул. Притыцкого, 29","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5040552,53.907298,27.484395
WDL оптика N4,"Минск-Ленинский, пр-т Рокоссовского, 2, ТЦ Гиппо","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5040536,53.874611,27.594758
WDL оптика N5,"Минск-Центральный, ул. Интернациональная, 15","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; выходной, вс.",(044) 5040543,53.902374,27.555336
WDL оптика N6,"Минск-Заводской, пр-т Партизанский, 93","09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",(029) 6957669,53.873999,27.635619
WDL оптика N7,"Минск-Фрунзенский, ул. Притыцкого, 156, ТЦ Green City","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5040537,53.908527,27.433729
WDL оптика N8,"Минск-Октябрьский, ул. Бобруйская, 6, ТЦ Galileo","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 7989438,53.890245,27.554384
WDL оптика N9,"Минск-Первомайский, пр-т Независимости, 102","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(029) 6638464,53.928418,27.630651
Альфа-аптека Аптека N1 ЗАО Компания Интерфарм,"Полоцк, ул. Хруцкого, 7","10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: последняя пятница каждого месяца с 10:00-12:00;",(0214) 492889,55.498260,28.745191
Альфа-аптека Аптека N10 ОДО Салюслайн,"Гродно, ул. Соломовой, 82, пом. 4.8-12 ТЦ Розовый Фламинго","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",(0152) 602023,53.663345,23.785225
АльфаАптека Аптека N1 Беллерофон ООО,"Минск-Ленинский, ул. Шпилевского, 60, пом. 4Н","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй понедельник каждого месяца с 9.00 до 11.00;",(017) 3957146,53.846529,27.560223
АльфаАптека Аптека N1 БООО СпецАфармация,"Бобруйск, ул. Карла Маркса, 38-2","08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-17.00, вс.; Санитарные часы: первый понедельник месяца с 8.00 до 10.00;",(0225) 720077,53.133958,29.229306
АльфаАптека Аптека N1 ГаленаФарм ООО,"Пинск, ул. Брестская, 118-97","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.; Санитарные часы: второй понедельник месяца с 8.00 до 10.00;",(0165) 627783,52.113617,26.066500
АльфаАптека Аптека N1 Не Ска ООО,"Минск-Московский, пр-т Дзержинского, 119-862","08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый вторник месяца с 9.00 до 12.00;",(017) 2401800,53.849848,27.475946
АльфаАптека Аптека N1 ОДО Аленфарм плюс,"Минск-Ленинский, пр-т Рокоссовского, 17, к. 1","09.00-22.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: третья среда каждого месяца с 9:00 до 11:00;",(017) 3615913,53.872667,27.598350
АльфаАптека Аптека N1 ОДО Меджел,"Минск-Партизанский, ул. Солтыса, 60","08.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Санитарные часы: третья среда месяца с 8.00 до 11.00;",(017) 3430860,53.895600,27.652283
АльфаАптека Аптека N1 ОДО Салюслайн,"Гродно, ул. Советская, 15-17","09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 10.00-19.00, вс.; Санитарные часы: третий четверг месяца с 9.00 до 11.00;",(0152) 621544,53.680687,23.830900
АльфаАптека Аптека N1 Табина ООО,"Минск-Советский, ул. Куйбышева, 57-77","12.00-00.00, пн.–пт.; 12.00-00.00, сб.; 12.00-00.00, вс.; Санитарные часы: второй понедельник месяца с 8.00 до 10.00;",(017) 2439228,53.917559,27.572765
АльфаАптека Аптека N1 Фитобел ООО,"Минск-Фрунзенский, ул. Бурдейного, 13-5","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 09.00-19.00, вс.; Санитарные часы: второй вторник месяца с 8:00 до 11:00;",(017) 2474144,53.903650,27.455133
АльфаАптека Аптека N10 Беллерофон ООО,"Минск-Октябрьский, ул. Авакяна, 19, пом. 196","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: первое воскресенье месяца с 8.00 до 10.00;",(017) 3532712,53.877629,27.543585
АльфаАптека Аптека N10 БООО СпецАфармация,"Бобруйск, ул. 50 лет ВЛКСМ, 20А","08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: третье воскресенье месяца с 8.00 до 10.00;",(0225) 719244,53.169097,29.194885
