Название аптеки,Адрес,Телефон,Время работы,Цена
Искамед ООО Аптека N37,"Заславль, ул. Советская, 81",(017) 5141023,"08.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 8:00 до 11:00;",
ADEL Аптека N61 ООО Аптека групп Центр,"Минск-Первомайский, пр-т Независимости, 179-7, ТЦ Спектр, главный вход 1 этаж",(044) 5034264,"08.00-23.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",
Ледафарммед ООО Аптека N3,"Лида, ул. Тухачевского, 77",(0154) 629961,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Искамед ООО Аптека N24,"Светлогорск, ул. Луначарского, 7А-1",(02342) 26939,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 11:00;",
Искамед ООО Аптека N58,"Лида, пр-т Победы, 38",(0154) 611818,"09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: первый понедельник каждого месяца с 9:00 до 11:00;",
Лигматон ООО Аптека N14,"Минск-Центральный, аг. Ждановичи, ул. Заречная, 1В-3",(029) 1350559,"09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй вторник месяца с 9.00-12.00.",
АльфаАптека Аптека N24 Фитобел ООО,"Барановичи, б-р Штоккерау, 3-1",(0163) 638439,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-16.00, вс.; Санитарные часы: второй четверг месяца с 8.00 до 10.00;",
Медтехника УП Магазин Оптика г. Слоним,"Слоним, ул. Красноармейская, 20",(01562) 65611,"10.00-19.00, пн.–пт.; 09.00-16.00, сб.; 09.00-16.00, вс.",
Зялёная крама Торговый объект N43 ООО Ирина-Фарм,"Минск-Партизанский, ул. Фроликова, 2, 14-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Белана ООО ПКФ Аптека N9,"Жабинка, ул. Ленина, 1А",(01641) 35933,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: последнее воскресенье месяца с 20.00 до 22.00",
Брестское РУП Фармация Аптека N3,"Брест, ул. Советская, 101-13, 103-4",(0162) 543979,"8.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; праздн. дни: 10.00-20.00",
ADEL Аптека N48 ЗАО Аптека групп Юг,"Пинск, пр-т Жолтовского, 22-107, рядом с лаб. Helix",(044) 5034264,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N67 ООО Аптека групп Центр,"Солигорск, ул. Судиловского, 19А, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Биотест ООО НПК Аптека N5,"Гродно, ул. Дзержинского, 7-93, маг. Копеечка",(0152) 620450,"11.00-19.00, пн.–пт.; 11.00-19.00, сб.; 11.00-19.00, вс.",
АльфаАптека Аптека N2 ООО СпецАфармация,"Бобруйск, ул. Урицкого, 131А",(0225) 707019,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Медпростор Салон медтехники и ортопедии N9,"Минск-Московский, ул. Сергея Есенина, 21",(017) 3927860,"08.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.",
Витебское УП Фармация Аптека N92,"Глубокое, аг. Удело, ул. Советская, 34",(02156) 31598,"09.00-15.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N91,"Пинск, аг. Молотковичи, пер. Владимировский, 3",(0165) 645199,"08.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 14:00-14:30; Праздничные дни: выходной;",
Добрыя Леки-Эканом Аптека N18 ЗАО Аптека групп Юг,"Могилев, ул. Турова, 24А",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
АльфаАптека Аптека N11 ОДО Салюслайн,"Гродно, ул. Захарова, 26-99",(0152) 716053,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Сандень: первый понедельник месяца 8:00-10:00",
Минская Фармация Аптека N77,"Смолевичи, пос. Усяж, ул. Комсомольская, 10",(01776) 67299,"08.00-16.00, пн.; 08.00-16.00, вт.; 08.00-16.00, ср.; 08.00-16.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-13:30; Праздничные дни: выходной;",
АльфаАптека Аптека N6 ОДО Салюслайн,"Гродно, ул. Победы, 47",(0152) 692098,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарный день: первый понедельник каждого месяц с 9.00 до 11.00;",
Зялёная крама Торговый объект N705 УП Ирина-Фарм,"Могилев, пр-т Витебский, 42, 5-я городская пол-ка, 1 этаж",7822 - А1+mts,"08.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Биотест ООО НПК Аптека N8,"Гродно, б-р Ленинского комсомола, 43Б",(0152) 440499,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Медтехника УП Пункт N4,"Витебск, ул. Воинов-Интернационалистов, 37",(29) 5398424,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.",
Гродненское РУП Фармация Аптека N207,"Мосты, д. Мосты Правые",(01515) 62394,"выходной, пн.; выходной, вт.; 08.00-18.00, ср.; выходной, чт.; 08.00-18.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Добрыя Леки Аптека N59 ЗАО Аптека групп Юг,"Гомель, ул. Косарева, 53, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N69 ООО Аптека групп Запад,"Гродно, пр-т Клецкова, 25А, маг. Маяк",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
АПТЕЧКА+ интернет-аптека,"Минск, Доставка Минск",(029) 6189494,"08.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Сакавик ООО Аптека N9,"Слуцк, ул. Ленина, 118А, ТЦ Панорама",(01795) 38042,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Минская Фармация Аптека N214,"Марьина Горка, ул. Новая Заря, 35А",(01713) 55340,"08.00-19.00, пн.–пт.; 08.00-18.00, сб.; выходной, вс.",
Арника-Люкс ООО Аптека N14,"Гродно, ул. Победы, 34",(044) 5073514,"08.00-21.00, пн.–пт.; 09.00-19.00, сб.; 10.00-18.00, вс.",
Новамедика Аптека N40,"Сеница, Сенницкий с/с, 84, ТЦ Сеница",(017) 2216412,"10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Санитарный день: каждый третий понедельник месяца с 10:00 до 11:00; Праздничные дни с 10:00 до 18:00;",
Добрыя Леки Аптека N36 ОДО Амадей,"Гомель, ул. Белого, 11, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медицинский магазин N10 Польза,"Минск-Первомайский, ул. Ложинская, 22",(029) 1065516,"10.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
АльфаАптека Аптека N11 Табина ООО,"Минск-Советский, ул. Веры Хоружей, 18Б",(017) 3787396,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-18.00, вс.; Санитарные часы: второй понедельник месяца  с 9.00 до 11.00;",
АльфаАптека Аптека N12 ОДО Меджел,"Борисов, пр-т Революции, 48",(0177) 747140,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: первый четверг месяца с 8.00 до 10.00;",
Медтехника УП Магазин Оптика г. Ошмяны,"Ошмяны, ул. Советская, 58",(01593) 23688,"выходной, пн.; 09.00-17.30, вт.; 09.00-17.30, ср.; 09.00-17.30, чт.; 09.00-17.30, пт.; 09.00-17.30, сб.; выходной, вс.",
Гомельское УП Фармация Аптека N190/3,"Мозырь, ул. Котловца, 14",(0236) 247041,"09.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 15:00-15:30;",
Добрыя Леки Аптека N48 ООО Аптека групп Запад,"Брест, ул. Советской Конституции, 21-1",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N56 ООО Аптека групп Запад,"Брест, ул. Красногвардейская, 5",моб. 5355757,"10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",
Ремедика ЛКЛ ООО Аптека N3,"Минск-Октябрьский, ул. Свердлова, 11-326е",(017) 2708693,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
АльфаАптека Аптека N10 Не Ска ООО,"Гомель, ул. Советская, 149, ТЦ Карусель, справа от входа в магазин ОМА",(0232) 556570,"10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Санитарный день: первый четверг каждого месяца;",
Добрыя Леки-Эканом Аптека N34 ОДО Амадей,"Бобруйск, ул. Интернациональная, 34-23",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Минская Фармация Аптека N317,"Несвиж, ул. Сырокомли, 29/1, пом. 12",(01770) 27220,"08.00-18.00, пн.–пт.; 08.00-13.00, сб.; выходной, вс.",
ИООО Сибвалио-Бел Аптека N2,"Брест, ул. Маяковского, 17/2-17",(0162) 500365,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; выходной, вс.; Санитарный день: первый понедельник месяца;",
Аптека Новая N3 ООО Пролайф,"Бобруйск, ул. 50 лет ВЛКСМ, 6",(029) 1084515,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: четвертое воскресенье каждого месяца с 19:00 до 22:00;",
Зялёная крама Торговый объект N10 ООО Ирина-Фарм,"Минск-Ленинский, ул. Великоморская, 36",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Минская Фармация Аптека N219,"Вилейка, ул. Гагарина, 12",(01771) 32844,"09.00-19.00, пн.–пт.; 09.00-14.20, сб.; выходной, вс.; Перерыв в понедельник: 13:00-14:00; Перерыв в субботу: 12:00-12:20; Праздничные дни: выходной;",
Белфармация Аптека N25 (филиал 4),"Минск-Партизанский, ул. Долгобродская, 39, 9-я городская детская пол-ка",(017) 3032949,"08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: третья пятница каждого месяца с 18:00 до 20:00;",
Медтехника УП Киоск г. Светлогорск,"Светлогорск, ул. Калинина, 4, 1 этаж районной поликлиники",(02342) 53325,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:30;",
Юнифарм ООО Аптека N13,"Солигорск, ул. Заслонова, 67Б",(044) 5071513,"09.00-20.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.",
Минская Фармация Аптека N46,"Смолевичи, пос. Октябрьский, ул. Почтовая, 4 пом. 10,11",(01776) 37320,"08.00-18.00, пн.–пт.; 08.00-13.00, сб.; выходной, вс.; Перерыв в понедельник-пятницу: 13:00-14:00; Праздничные дни: выходной;",
Минская Фармация Аптека N6,"Несвиж, аг. Снов, ул. Несвижская, 38",(01770) 55676,"09.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: выходной;",
Искамед ООО Аптека N78,"Орша, ул. Мира, 5",(0216) 547541,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертый понедельник каждого месяца с 9:00 до 11:00;",
Добрыя Леки Аптека N60 ООО Аптека групп Запад,"Гродно, ш. Индурское, 9, маг. Маяк",моб. 5355757,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
АльфаАптека Аптека N4 ЗАО Компания Интерфарм,"Витебск, ул. Ленина, 28-72",(0212) 373588,"08.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: последнее воскресенье месяца с 18.00 до 20.00;",
